Tarix (gün.ay.il);Stansiya;Gündəlik gediş sayı
2026-01-20 00:00:00,000;"20 Yanvar";16093
2026-01-20 00:00:00,000;"20 Yanvar";3647
2026-01-20 00:00:00,000;"20 Yanvar";7811
2026-01-21 00:00:00,000;"20 Yanvar";28921
2026-01-21 00:00:00,000;"20 Yanvar";6652
2026-01-21 00:00:00,000;"20 Yanvar";15104
2026-01-22 00:00:00,000;"20 Yanvar";29650
2026-01-22 00:00:00,000;"20 Yanvar";6675
2026-01-22 00:00:00,000;"20 Yanvar";14920
2026-01-23 00:00:00,000;"20 Yanvar";30105
2026-01-23 00:00:00,000;"20 Yanvar";6713
2026-01-23 00:00:00,000;"20 Yanvar";15679
2026-01-24 00:00:00,000;"20 Yanvar";23292
2026-01-24 00:00:00,000;"20 Yanvar";5165
2026-01-24 00:00:00,000;"20 Yanvar";10413
2026-01-25 00:00:00,000;"20 Yanvar";17904
2026-01-25 00:00:00,000;"20 Yanvar";3897
2026-01-25 00:00:00,000;"20 Yanvar";8832
2026-01-26 00:00:00,000;"20 Yanvar";31069
2026-01-26 00:00:00,000;"20 Yanvar";6651
2026-01-26 00:00:00,000;"20 Yanvar";16050
2026-01-27 00:00:00,000;"20 Yanvar";29635
2026-01-27 00:00:00,000;"20 Yanvar";6466
2026-01-27 00:00:00,000;"20 Yanvar";16719
2026-01-28 00:00:00,000;"20 Yanvar";29068
2026-01-28 00:00:00,000;"20 Yanvar";6347
2026-01-28 00:00:00,000;"20 Yanvar";15332
2026-01-29 00:00:00,000;"20 Yanvar";15367
2026-01-29 00:00:00,000;"20 Yanvar";28938
2026-01-29 00:00:00,000;"20 Yanvar";6250
2026-01-30 00:00:00,000;"20 Yanvar";29663
2026-01-30 00:00:00,000;"20 Yanvar";6549
2026-01-30 00:00:00,000;"20 Yanvar";16026
2026-01-31 00:00:00,000;"20 Yanvar";23025
2026-01-31 00:00:00,000;"20 Yanvar";5337
2026-01-31 00:00:00,000;"20 Yanvar";12065
2026-02-01 00:00:00,000;"20 Yanvar";18661
2026-02-01 00:00:00,000;"20 Yanvar";4375
2026-02-01 00:00:00,000;"20 Yanvar";9825
2026-02-02 00:00:00,000;"20 Yanvar";28516
2026-02-02 00:00:00,000;"20 Yanvar";6386
2026-02-02 00:00:00,000;"20 Yanvar";15171
2026-02-03 00:00:00,000;"20 Yanvar";15034
2026-02-03 00:00:00,000;"20 Yanvar";26755
2026-02-03 00:00:00,000;"20 Yanvar";5958
2026-02-04 00:00:00,000;"20 Yanvar";4614
2026-02-04 00:00:00,000;"20 Yanvar";13103
2026-02-04 00:00:00,000;"20 Yanvar";22940
2026-02-05 00:00:00,000;"20 Yanvar";24701
2026-02-05 00:00:00,000;"20 Yanvar";5568
2026-02-05 00:00:00,000;"20 Yanvar";14625
2026-02-06 00:00:00,000;"20 Yanvar";26822
2026-02-06 00:00:00,000;"20 Yanvar";6085
2026-02-06 00:00:00,000;"20 Yanvar";15765
2026-02-07 00:00:00,000;"20 Yanvar";13180
2026-02-07 00:00:00,000;"20 Yanvar";22913
2026-02-07 00:00:00,000;"20 Yanvar";5322
2026-02-08 00:00:00,000;"20 Yanvar";18576
2026-02-08 00:00:00,000;"20 Yanvar";4176
2026-02-08 00:00:00,000;"20 Yanvar";10948
2026-02-09 00:00:00,000;"20 Yanvar";27238
2026-02-09 00:00:00,000;"20 Yanvar";6272
2026-02-09 00:00:00,000;"20 Yanvar";16104
2026-02-10 00:00:00,000;"20 Yanvar";24595
2026-02-10 00:00:00,000;"20 Yanvar";5633
2026-02-10 00:00:00,000;"20 Yanvar";14693
2026-02-11 00:00:00,000;"20 Yanvar";24555
2026-02-11 00:00:00,000;"20 Yanvar";15126
2026-02-11 00:00:00,000;"20 Yanvar";5685
2026-02-12 00:00:00,000;"20 Yanvar";26264
2026-02-12 00:00:00,000;"20 Yanvar";5948
2026-02-12 00:00:00,000;"20 Yanvar";16277
2026-02-13 00:00:00,000;"20 Yanvar";27782
2026-02-13 00:00:00,000;"20 Yanvar";6673
2026-02-13 00:00:00,000;"20 Yanvar";17255
2026-02-14 00:00:00,000;"20 Yanvar";24660
2026-02-14 00:00:00,000;"20 Yanvar";6008
2026-02-14 00:00:00,000;"20 Yanvar";15571
2026-02-15 00:00:00,000;"20 Yanvar";12533
2026-02-15 00:00:00,000;"20 Yanvar";19432
2026-02-15 00:00:00,000;"20 Yanvar";4581
2026-02-16 00:00:00,000;"20 Yanvar";21881
2026-02-16 00:00:00,000;"20 Yanvar";33221
2026-02-16 00:00:00,000;"20 Yanvar";7317
2026-02-17 00:00:00,000;"20 Yanvar";33175
2026-02-17 00:00:00,000;"20 Yanvar";7510
2026-02-17 00:00:00,000;"20 Yanvar";21804
2026-02-18 00:00:00,000;"20 Yanvar";32907
2026-02-18 00:00:00,000;"20 Yanvar";7420
2026-02-18 00:00:00,000;"20 Yanvar";22286
2026-02-19 00:00:00,000;"20 Yanvar";31140
2026-02-19 00:00:00,000;"20 Yanvar";6815
2026-02-19 00:00:00,000;"20 Yanvar";21101
2026-02-20 00:00:00,000;"20 Yanvar";30920
2026-02-20 00:00:00,000;"20 Yanvar";6844
2026-02-20 00:00:00,000;"20 Yanvar";21058
2026-02-21 00:00:00,000;"20 Yanvar";21469
2026-02-21 00:00:00,000;"20 Yanvar";4879
2026-02-21 00:00:00,000;"20 Yanvar";14281
2026-02-22 00:00:00,000;"20 Yanvar";11202
2026-02-22 00:00:00,000;"20 Yanvar";16910
2026-02-22 00:00:00,000;"20 Yanvar";3705
2026-02-23 00:00:00,000;"20 Yanvar";31174
2026-02-23 00:00:00,000;"20 Yanvar";6859
2026-02-23 00:00:00,000;"20 Yanvar";21990
2026-02-24 00:00:00,000;"20 Yanvar";9701
2026-02-24 00:00:00,000;"20 Yanvar";30563
2026-02-24 00:00:00,000;"20 Yanvar";6674
2026-02-25 00:00:00,000;"20 Yanvar";30070
2026-02-25 00:00:00,000;"20 Yanvar";5588
2026-02-25 00:00:00,000;"20 Yanvar";32773
2026-02-26 00:00:00,000;"20 Yanvar";7309
2026-02-26 00:00:00,000;"20 Yanvar";30129
2026-02-26 00:00:00,000;"20 Yanvar";21146
2026-02-27 00:00:00,000;"20 Yanvar";30366
2026-02-27 00:00:00,000;"20 Yanvar";6467
2026-02-27 00:00:00,000;"20 Yanvar";21461
2026-02-28 00:00:00,000;"20 Yanvar";19911
2026-02-28 00:00:00,000;"20 Yanvar";4406
2026-02-28 00:00:00,000;"20 Yanvar";13520
2026-01-01 00:00:00,000;"20 Yanvar";668
2026-01-02 00:00:00,000;"20 Yanvar";567
2026-01-03 00:00:00,000;"20 Yanvar";690
2026-01-04 00:00:00,000;"20 Yanvar";646
2026-01-05 00:00:00,000;"20 Yanvar";841
2026-01-06 00:00:00,000;"20 Yanvar";884
2026-01-07 00:00:00,000;"20 Yanvar";914
2026-01-08 00:00:00,000;"20 Yanvar";826
2026-01-09 00:00:00,000;"20 Yanvar";763
2026-01-10 00:00:00,000;"20 Yanvar";741
2026-01-11 00:00:00,000;"20 Yanvar";636
2026-01-12 00:00:00,000;"20 Yanvar";903
2026-01-13 00:00:00,000;"20 Yanvar";837
2026-01-14 00:00:00,000;"20 Yanvar";798
2026-01-15 00:00:00,000;"20 Yanvar";862
2026-01-16 00:00:00,000;"20 Yanvar";825
2026-01-17 00:00:00,000;"20 Yanvar";731
2026-01-18 00:00:00,000;"20 Yanvar";578
2026-01-19 00:00:00,000;"20 Yanvar";943
2026-01-20 00:00:00,000;"20 Yanvar";928
2026-01-21 00:00:00,000;"20 Yanvar";891
2026-01-22 00:00:00,000;"20 Yanvar";772
2026-01-23 00:00:00,000;"20 Yanvar";813
2026-01-24 00:00:00,000;"20 Yanvar";778
2026-01-25 00:00:00,000;"20 Yanvar";606
2026-01-26 00:00:00,000;"20 Yanvar";836
2026-01-27 00:00:00,000;"20 Yanvar";858
2026-01-28 00:00:00,000;"20 Yanvar";930
2026-01-29 00:00:00,000;"20 Yanvar";845
2026-01-30 00:00:00,000;"20 Yanvar";812
2026-01-31 00:00:00,000;"20 Yanvar";724
2026-02-01 00:00:00,000;"20 Yanvar";701
2026-02-02 00:00:00,000;"20 Yanvar";860
2026-02-03 00:00:00,000;"20 Yanvar";849
2026-02-04 00:00:00,000;"20 Yanvar";762
2026-02-05 00:00:00,000;"20 Yanvar";759
2026-02-06 00:00:00,000;"20 Yanvar";809
2026-02-07 00:00:00,000;"20 Yanvar";698
2026-02-08 00:00:00,000;"20 Yanvar";757
2026-02-09 00:00:00,000;"20 Yanvar";886
2026-02-10 00:00:00,000;"20 Yanvar";819
2026-02-11 00:00:00,000;"20 Yanvar";810
2026-02-12 00:00:00,000;"20 Yanvar";863
2026-02-13 00:00:00,000;"20 Yanvar";845
2026-02-14 00:00:00,000;"20 Yanvar";831
2026-02-15 00:00:00,000;"20 Yanvar";685
2026-02-16 00:00:00,000;"20 Yanvar";902
2026-02-17 00:00:00,000;"20 Yanvar";879
2026-02-18 00:00:00,000;"20 Yanvar";926
2026-02-19 00:00:00,000;"20 Yanvar";822
2026-02-20 00:00:00,000;"20 Yanvar";858
2026-02-21 00:00:00,000;"20 Yanvar";754
2026-02-22 00:00:00,000;"20 Yanvar";666
2026-02-23 00:00:00,000;"20 Yanvar";889
2026-02-24 00:00:00,000;"20 Yanvar";874
2026-02-25 00:00:00,000;"20 Yanvar";839
2026-02-26 00:00:00,000;"20 Yanvar";879
2026-02-27 00:00:00,000;"20 Yanvar";864
2026-02-28 00:00:00,000;"20 Yanvar";703
2026-01-01 00:00:00,000;"28-May";14889
2026-01-01 00:00:00,000;"28-May";3701
2026-01-01 00:00:00,000;"28-May";6866
2026-01-02 00:00:00,000;"28-May";13524
2026-01-02 00:00:00,000;"28-May";3335
2026-01-02 00:00:00,000;"28-May";6818
2026-01-03 00:00:00,000;"28-May";19324
2026-01-03 00:00:00,000;"28-May";4920
2026-01-03 00:00:00,000;"28-May";9886
2026-01-04 00:00:00,000;"28-May";16583
2026-01-04 00:00:00,000;"28-May";9174
2026-01-04 00:00:00,000;"28-May";4302
2026-01-05 00:00:00,000;"28-May";28433
2026-01-05 00:00:00,000;"28-May";7658
2026-01-05 00:00:00,000;"28-May";17353
2026-01-06 00:00:00,000;"28-May";28917
2026-01-06 00:00:00,000;"28-May";7255
2026-01-06 00:00:00,000;"28-May";17924
2026-01-07 00:00:00,000;"28-May";28263
2026-01-07 00:00:00,000;"28-May";17707
2026-01-07 00:00:00,000;"28-May";7577
2026-01-08 00:00:00,000;"28-May";18096
2026-01-08 00:00:00,000;"28-May";7659
2026-01-08 00:00:00,000;"28-May";28005
2026-01-09 00:00:00,000;"28-May";28818
2026-01-09 00:00:00,000;"28-May";7692
2026-01-09 00:00:00,000;"28-May";19063
2026-01-10 00:00:00,000;"28-May";21414
2026-01-10 00:00:00,000;"28-May";5631
2026-01-10 00:00:00,000;"28-May";13485
2026-01-11 00:00:00,000;"28-May";4445
2026-01-11 00:00:00,000;"28-May";10061
2026-01-11 00:00:00,000;"28-May";15971
2026-01-12 00:00:00,000;"28-May";28552
2026-01-12 00:00:00,000;"28-May";7008
2026-01-12 00:00:00,000;"28-May";13370
2026-01-13 00:00:00,000;"28-May";27425
2026-01-13 00:00:00,000;"28-May";6721
2026-01-14 00:00:00,000;"28-May";24687
2026-01-14 00:00:00,000;"28-May";6160
2026-01-14 00:00:00,000;"28-May";40989
2026-01-15 00:00:00,000;"28-May";4479
2026-01-15 00:00:00,000;"28-May";2419
2026-01-15 00:00:00,000;"28-May";2835
2026-01-16 00:00:00,000;"28-May";13799
2026-01-16 00:00:00,000;"28-May";51723
2026-01-16 00:00:00,000;"28-May";36772
2026-01-17 00:00:00,000;"28-May";20444
2026-01-17 00:00:00,000;"28-May";5255
2026-01-17 00:00:00,000;"28-May";13256
2026-01-18 00:00:00,000;"28-May";13470
2026-01-18 00:00:00,000;"28-May";3390
2026-01-18 00:00:00,000;"28-May";9162
2026-01-19 00:00:00,000;"28-May";28095
2026-01-19 00:00:00,000;"28-May";7160
2026-01-19 00:00:00,000;"28-May";20414
2026-01-20 00:00:00,000;"28-May";13709
2026-01-20 00:00:00,000;"28-May";3458
2026-01-20 00:00:00,000;"28-May";9510
2026-01-21 00:00:00,000;"28-May";26321
2026-01-21 00:00:00,000;"28-May";7027
2026-01-21 00:00:00,000;"28-May";19804
2026-01-22 00:00:00,000;"28-May";27351
2026-01-22 00:00:00,000;"28-May";7072
2026-01-22 00:00:00,000;"28-May";20582
2026-01-23 00:00:00,000;"28-May";27725
2026-01-23 00:00:00,000;"28-May";7151
2026-01-23 00:00:00,000;"28-May";21070
2026-01-24 00:00:00,000;"28-May";20839
2026-01-24 00:00:00,000;"28-May";5226
2026-01-24 00:00:00,000;"28-May";14206
2026-01-25 00:00:00,000;"28-May";14819
2026-01-25 00:00:00,000;"28-May";3706
2026-01-25 00:00:00,000;"28-May";10881
2026-01-26 00:00:00,000;"28-May";27747
2026-01-26 00:00:00,000;"28-May";6927
2026-01-26 00:00:00,000;"28-May";20484
2026-01-27 00:00:00,000;"28-May";26211
2026-01-27 00:00:00,000;"28-May";6651
2026-01-27 00:00:00,000;"28-May";20419
2026-01-28 00:00:00,000;"28-May";26095
2026-01-28 00:00:00,000;"28-May";6454
2026-01-28 00:00:00,000;"28-May";19861
2026-01-29 00:00:00,000;"28-May";18662
2026-01-29 00:00:00,000;"28-May";25437
2026-01-29 00:00:00,000;"28-May";6142
2026-01-30 00:00:00,000;"28-May";27506
2026-01-30 00:00:00,000;"28-May";7122
2026-01-30 00:00:00,000;"28-May";21272
2026-01-31 00:00:00,000;"28-May";5230
2026-01-31 00:00:00,000;"28-May";16044
2026-01-31 00:00:00,000;"28-May";20417
2026-02-01 00:00:00,000;"28-May";15317
2026-02-01 00:00:00,000;"28-May";4011
2026-02-01 00:00:00,000;"28-May";12236
2026-02-02 00:00:00,000;"28-May";25446
2026-02-02 00:00:00,000;"28-May";6540
2026-02-02 00:00:00,000;"28-May";19781
2026-02-03 00:00:00,000;"28-May";19250
2026-02-03 00:00:00,000;"28-May";6396
2026-02-03 00:00:00,000;"28-May";24131
2026-02-04 00:00:00,000;"28-May";4461
2026-02-04 00:00:00,000;"28-May";14818
2026-02-04 00:00:00,000;"28-May";18820
2026-02-05 00:00:00,000;"28-May";22405
2026-02-05 00:00:00,000;"28-May";5939
2026-02-05 00:00:00,000;"28-May";18678
2026-02-06 00:00:00,000;"28-May";24956
2026-02-06 00:00:00,000;"28-May";6697
2026-02-06 00:00:00,000;"28-May";20660
2026-02-07 00:00:00,000;"28-May";16495
2026-02-07 00:00:00,000;"28-May";20330
2026-02-07 00:00:00,000;"28-May";5410
2026-02-08 00:00:00,000;"28-May";4236
2026-02-08 00:00:00,000;"28-May";15920
2026-02-08 00:00:00,000;"28-May";12996
2026-02-09 00:00:00,000;"28-May";25146
2026-02-09 00:00:00,000;"28-May";6728
2026-02-09 00:00:00,000;"28-May";20749
2026-02-10 00:00:00,000;"28-May";21779
2026-02-10 00:00:00,000;"28-May";5878
2026-02-10 00:00:00,000;"28-May";18489
2026-02-11 00:00:00,000;"28-May";23379
2026-02-11 00:00:00,000;"28-May";19796
2026-02-11 00:00:00,000;"28-May";6228
2026-02-12 00:00:00,000;"28-May";24661
2026-02-12 00:00:00,000;"28-May";6696
2026-02-12 00:00:00,000;"28-May";21416
2026-02-13 00:00:00,000;"28-May";26518
2026-02-13 00:00:00,000;"28-May";7410
2026-02-13 00:00:00,000;"28-May";23162
2026-02-14 00:00:00,000;"28-May";22631
2026-02-14 00:00:00,000;"28-May";6200
2026-02-14 00:00:00,000;"28-May";19206
2026-02-15 00:00:00,000;"28-May";14943
2026-02-15 00:00:00,000;"28-May";16559
2026-02-15 00:00:00,000;"28-May";4522
2026-02-16 00:00:00,000;"28-May";27960
2026-02-16 00:00:00,000;"28-May";30031
2026-02-16 00:00:00,000;"28-May";8025
2026-02-17 00:00:00,000;"28-May";30119
2026-02-17 00:00:00,000;"28-May";8085
2026-02-17 00:00:00,000;"28-May";27611
2026-02-18 00:00:00,000;"28-May";29945
2026-02-18 00:00:00,000;"28-May";7910
2026-02-18 00:00:00,000;"28-May";27568
2026-02-19 00:00:00,000;"28-May";27839
2026-02-19 00:00:00,000;"28-May";7216
2026-02-19 00:00:00,000;"28-May";25994
2026-02-20 00:00:00,000;"28-May";28688
2026-02-20 00:00:00,000;"28-May";7459
2026-02-20 00:00:00,000;"28-May";26702
2026-02-21 00:00:00,000;"28-May";19624
2026-02-21 00:00:00,000;"28-May";5142
2026-02-21 00:00:00,000;"28-May";17562
2026-02-22 00:00:00,000;"28-May";13028
2026-02-22 00:00:00,000;"28-May";14373
2026-02-22 00:00:00,000;"28-May";3583
2026-02-23 00:00:00,000;"28-May";28283
2026-02-23 00:00:00,000;"28-May";7237
2026-02-23 00:00:00,000;"28-May";26692
2026-02-24 00:00:00,000;"28-May";4218
2026-02-24 00:00:00,000;"28-May";27170
2026-02-24 00:00:00,000;"28-May";6914
2026-02-25 00:00:00,000;"28-May";27138
2026-02-25 00:00:00,000;"28-May";5472
2026-02-25 00:00:00,000;"28-May";47777
2026-02-26 00:00:00,000;"28-May";8455
2026-02-26 00:00:00,000;"28-May";26208
2026-02-26 00:00:00,000;"28-May";27701
2026-02-27 00:00:00,000;"28-May";27744
2026-02-27 00:00:00,000;"28-May";7147
2026-02-27 00:00:00,000;"28-May";26375
2026-02-28 00:00:00,000;"28-May";18070
2026-02-28 00:00:00,000;"28-May";4647
2026-02-28 00:00:00,000;"28-May";16939
2026-01-01 00:00:00,000;"28-May";1058
2026-01-02 00:00:00,000;"28-May";964
2026-01-03 00:00:00,000;"28-May";1157
2026-01-04 00:00:00,000;"28-May";1004
2026-01-05 00:00:00,000;"28-May";1692
2026-01-06 00:00:00,000;"28-May";1757
2026-01-07 00:00:00,000;"28-May";1710
2026-01-08 00:00:00,000;"28-May";1643
2026-01-09 00:00:00,000;"28-May";1673
2026-01-10 00:00:00,000;"28-May";1044
2026-01-11 00:00:00,000;"28-May";893
2026-01-12 00:00:00,000;"28-May";1665
2026-01-13 00:00:00,000;"28-May";1695
2026-01-14 00:00:00,000;"28-May";1599
2026-01-15 00:00:00,000;"28-May";1654
2026-01-16 00:00:00,000;"28-May";1690
2026-01-17 00:00:00,000;"28-May";1070
2026-01-18 00:00:00,000;"28-May";881
2026-01-19 00:00:00,000;"28-May";1651
2026-01-20 00:00:00,000;"28-May";889
2026-01-21 00:00:00,000;"28-May";1721
2026-01-22 00:00:00,000;"28-May";1692
2026-01-23 00:00:00,000;"28-May";1585
2026-01-24 00:00:00,000;"28-May";1046
2026-01-25 00:00:00,000;"28-May";966
2026-01-26 00:00:00,000;"28-May";1696
2026-01-27 00:00:00,000;"28-May";1697
2026-01-28 00:00:00,000;"28-May";1742
2026-01-29 00:00:00,000;"28-May";1649
2026-01-30 00:00:00,000;"28-May";1692
2026-01-31 00:00:00,000;"28-May";1132
2026-02-01 00:00:00,000;"28-May";934
2026-02-02 00:00:00,000;"28-May";1680
2026-02-03 00:00:00,000;"28-May";1682
2026-02-04 00:00:00,000;"28-May";1529
2026-02-05 00:00:00,000;"28-May";1593
2026-02-06 00:00:00,000;"28-May";1741
2026-02-07 00:00:00,000;"28-May";1055
2026-02-08 00:00:00,000;"28-May";1002
2026-02-09 00:00:00,000;"28-May";1801
2026-02-10 00:00:00,000;"28-May";1669
2026-02-11 00:00:00,000;"28-May";1794
2026-02-12 00:00:00,000;"28-May";1804
2026-02-13 00:00:00,000;"28-May";2012
2026-02-14 00:00:00,000;"28-May";1255
2026-02-15 00:00:00,000;"28-May";945
2026-02-16 00:00:00,000;"28-May";1880
2026-02-17 00:00:00,000;"28-May";1836
2026-02-18 00:00:00,000;"28-May";1844
2026-02-19 00:00:00,000;"28-May";1862
2026-02-20 00:00:00,000;"28-May";1812
2026-02-21 00:00:00,000;"28-May";1247
2026-02-22 00:00:00,000;"28-May";864
2026-02-23 00:00:00,000;"28-May";1822
2026-02-24 00:00:00,000;"28-May";1795
2026-02-25 00:00:00,000;"28-May";1802
2026-02-26 00:00:00,000;"28-May";1886
2026-02-27 00:00:00,000;"28-May";1847
2026-02-28 00:00:00,000;"28-May";1081
2026-01-01 00:00:00,000;"8 Noyabr";1104
2026-01-01 00:00:00,000;"8 Noyabr";223
2026-01-01 00:00:00,000;"8 Noyabr";404
2026-01-02 00:00:00,000;"8 Noyabr";1043
2026-01-02 00:00:00,000;"8 Noyabr";194
2026-01-02 00:00:00,000;"8 Noyabr";335
2026-01-03 00:00:00,000;"8 Noyabr";1476
2026-01-03 00:00:00,000;"8 Noyabr";245
2026-01-03 00:00:00,000;"8 Noyabr";460
2026-01-04 00:00:00,000;"8 Noyabr";484
2026-01-04 00:00:00,000;"8 Noyabr";1367
2026-01-04 00:00:00,000;"8 Noyabr";260
2026-01-05 00:00:00,000;"8 Noyabr";2772
2026-01-05 00:00:00,000;"8 Noyabr";583
2026-01-05 00:00:00,000;"8 Noyabr";1044
2026-01-06 00:00:00,000;"8 Noyabr";2958
2026-01-06 00:00:00,000;"8 Noyabr";567
2026-01-06 00:00:00,000;"8 Noyabr";1153
2026-01-07 00:00:00,000;"8 Noyabr";1188
2026-01-07 00:00:00,000;"8 Noyabr";641
2026-01-07 00:00:00,000;"8 Noyabr";2975
2026-01-08 00:00:00,000;"8 Noyabr";3007
2026-01-08 00:00:00,000;"8 Noyabr";1147
2026-01-08 00:00:00,000;"8 Noyabr";582
2026-01-09 00:00:00,000;"8 Noyabr";637
2026-01-09 00:00:00,000;"8 Noyabr";1253
2026-01-09 00:00:00,000;"8 Noyabr";2971
2026-01-10 00:00:00,000;"8 Noyabr";2117
2026-01-10 00:00:00,000;"8 Noyabr";415
2026-01-10 00:00:00,000;"8 Noyabr";819
2026-01-11 00:00:00,000;"8 Noyabr";261
2026-01-11 00:00:00,000;"8 Noyabr";616
2026-01-11 00:00:00,000;"8 Noyabr";1401
2026-01-12 00:00:00,000;"8 Noyabr";2974
2026-01-12 00:00:00,000;"8 Noyabr";589
2026-01-12 00:00:00,000;"8 Noyabr";1028
2026-01-13 00:00:00,000;"8 Noyabr";2978
2026-01-13 00:00:00,000;"8 Noyabr";613
2026-01-14 00:00:00,000;"8 Noyabr";2818
2026-01-14 00:00:00,000;"8 Noyabr";552
2026-01-14 00:00:00,000;"8 Noyabr";2665
2026-01-15 00:00:00,000;"8 Noyabr";2815
2026-01-15 00:00:00,000;"8 Noyabr";686
2026-01-15 00:00:00,000;"8 Noyabr";1152
2026-01-16 00:00:00,000;"8 Noyabr";585
2026-01-16 00:00:00,000;"8 Noyabr";2945
2026-01-16 00:00:00,000;"8 Noyabr";1391
2026-01-17 00:00:00,000;"8 Noyabr";1963
2026-01-17 00:00:00,000;"8 Noyabr";387
2026-01-17 00:00:00,000;"8 Noyabr";937
2026-01-18 00:00:00,000;"8 Noyabr";1131
2026-01-18 00:00:00,000;"8 Noyabr";204
2026-01-18 00:00:00,000;"8 Noyabr";545
2026-01-19 00:00:00,000;"8 Noyabr";2984
2026-01-19 00:00:00,000;"8 Noyabr";578
2026-01-19 00:00:00,000;"8 Noyabr";1446
2026-01-20 00:00:00,000;"8 Noyabr";1425
2026-01-20 00:00:00,000;"8 Noyabr";236
2026-01-20 00:00:00,000;"8 Noyabr";651
2026-01-21 00:00:00,000;"8 Noyabr";2846
2026-01-21 00:00:00,000;"8 Noyabr";580
2026-01-21 00:00:00,000;"8 Noyabr";1327
2026-01-22 00:00:00,000;"8 Noyabr";558
2026-01-22 00:00:00,000;"8 Noyabr";1347
2026-01-22 00:00:00,000;"8 Noyabr";2926
2026-01-23 00:00:00,000;"8 Noyabr";591
2026-01-23 00:00:00,000;"8 Noyabr";1470
2026-01-23 00:00:00,000;"8 Noyabr";2954
2026-01-24 00:00:00,000;"8 Noyabr";1998
2026-01-24 00:00:00,000;"8 Noyabr";381
2026-01-24 00:00:00,000;"8 Noyabr";891
2026-01-25 00:00:00,000;"8 Noyabr";239
2026-01-25 00:00:00,000;"8 Noyabr";601
2026-01-25 00:00:00,000;"8 Noyabr";1319
2026-01-26 00:00:00,000;"8 Noyabr";2957
2026-01-26 00:00:00,000;"8 Noyabr";567
2026-01-26 00:00:00,000;"8 Noyabr";1447
2026-01-27 00:00:00,000;"8 Noyabr";2847
2026-01-27 00:00:00,000;"8 Noyabr";562
2026-01-27 00:00:00,000;"8 Noyabr";1487
2026-01-28 00:00:00,000;"8 Noyabr";2831
2026-01-28 00:00:00,000;"8 Noyabr";576
2026-01-28 00:00:00,000;"8 Noyabr";1428
2026-01-29 00:00:00,000;"8 Noyabr";1392
