"date","station_name","entries"
"2025-05-14","20 Yanvar","58060"
"2025-05-15","20 Yanvar","58392"
"2025-05-16","20 Yanvar","59553"
"2025-05-17","20 Yanvar","44298"
"2025-05-18","20 Yanvar","35559"
"2025-05-19","20 Yanvar","59913"
"2025-05-20","20 Yanvar","59914"
"2025-05-21","20 Yanvar","58382"
"2025-05-22","20 Yanvar","58978"
"2025-05-23","20 Yanvar","59178"
"2025-05-24","20 Yanvar","43127"
"2025-05-25","20 Yanvar","36338"
"2025-05-26","20 Yanvar","58767"
"2025-05-27","20 Yanvar","57366"
"2025-05-28","20 Yanvar","40176"
"2025-05-29","20 Yanvar","54710"
"2025-05-30","20 Yanvar","53556"
"2025-05-31","20 Yanvar","42440"
"2025-06-01","20 Yanvar","37642"
"2025-06-02","20 Yanvar","54060"
"2025-06-03","20 Yanvar","52353"
"2025-06-04","20 Yanvar","52990"
"2025-06-05","20 Yanvar","57539"
"2025-06-06","20 Yanvar","32151"
"2025-06-07","20 Yanvar","32610"
"2025-06-08","20 Yanvar","33720"
"2025-06-09","20 Yanvar","40843"
"2025-06-10","20 Yanvar","57121"
"2025-06-11","20 Yanvar","54293"
"2025-06-12","20 Yanvar","53283"
"2025-06-13","20 Yanvar","55705"
"2025-06-14","20 Yanvar","41814"
"2025-06-15","20 Yanvar","32258"
"2025-06-16","20 Yanvar","38176"
"2025-06-17","20 Yanvar","56156"
"2025-06-18","20 Yanvar","53969"
"2025-06-19","20 Yanvar","52680"
"2025-06-20","20 Yanvar","54232"
"2025-06-21","20 Yanvar","49478"
"2025-06-22","20 Yanvar","33423"
"2025-06-23","20 Yanvar","54282"
"2025-06-24","20 Yanvar","54772"
"2025-06-25","20 Yanvar","55787"
"2025-06-26","20 Yanvar","38648"
"2025-06-27","20 Yanvar","39329"
"2025-06-28","20 Yanvar","36659"
"2025-06-29","20 Yanvar","32202"
"2025-06-30","20 Yanvar","54903"
"2025-07-01","20 Yanvar","50557"
"2025-07-02","20 Yanvar","49281"
"2025-07-03","20 Yanvar","49100"
"2025-07-04","20 Yanvar","48558"
"2025-07-05","20 Yanvar","36883"
"2025-07-06","20 Yanvar","32145"
"2025-07-07","20 Yanvar","49124"
"2025-07-08","20 Yanvar","48297"
"2025-07-09","20 Yanvar","47823"
"2025-07-10","20 Yanvar","46798"
"2025-07-11","20 Yanvar","46470"
"2025-07-12","20 Yanvar","37310"
"2025-07-13","20 Yanvar","30722"
"2025-07-14","20 Yanvar","44521"
"2025-07-15","20 Yanvar","43926"
"2025-07-16","20 Yanvar","43432"
"2025-07-17","20 Yanvar","42824"
"2025-07-18","20 Yanvar","43953"
"2025-07-19","20 Yanvar","35796"
"2025-07-20","20 Yanvar","29043"
"2025-07-21","20 Yanvar","43529"
"2025-07-22","20 Yanvar","42322"
"2025-07-23","20 Yanvar","42412"
"2025-07-24","20 Yanvar","42303"
"2025-07-25","20 Yanvar","43183"
"2025-07-26","20 Yanvar","35314"
"2025-07-27","20 Yanvar","29949"
"2025-07-28","20 Yanvar","43418"
"2025-07-29","20 Yanvar","43073"
"2025-07-30","20 Yanvar","43215"
"2025-07-31","20 Yanvar","42594"
"2025-08-01","20 Yanvar","42463"
"2025-08-02","20 Yanvar","35245"
"2025-08-03","20 Yanvar","28701"
"2025-08-04","20 Yanvar","42406"
"2025-08-05","20 Yanvar","41128"
"2025-08-06","20 Yanvar","40969"
"2025-08-07","20 Yanvar","40496"
"2025-08-08","20 Yanvar","41602"
"2025-08-09","20 Yanvar","35106"
"2025-08-10","20 Yanvar","29696"
"2025-08-11","20 Yanvar","43475"
"2025-08-12","20 Yanvar","43617"
"2025-08-13","20 Yanvar","42581"
"2025-08-14","20 Yanvar","42172"
"2025-08-15","20 Yanvar","42883"
"2025-08-16","20 Yanvar","35286"
"2025-08-17","20 Yanvar","30062"
"2025-08-18","20 Yanvar","43177"
"2025-08-19","20 Yanvar","42190"
"2025-08-20","20 Yanvar","42045"
"2025-08-21","20 Yanvar","42228"
"2025-08-22","20 Yanvar","42508"
"2025-08-23","20 Yanvar","36076"
"2025-08-24","20 Yanvar","30139"
"2025-08-25","20 Yanvar","44958"
"2025-08-26","20 Yanvar","44090"
"2025-08-27","20 Yanvar","46207"
"2025-08-28","20 Yanvar","44760"
"2025-08-29","20 Yanvar","45462"
"2025-08-30","20 Yanvar","37957"
"2025-08-31","20 Yanvar","31026"
"2025-09-01","20 Yanvar","47217"
"2025-09-02","20 Yanvar","46495"
"2025-09-03","20 Yanvar","47129"
"2025-09-04","20 Yanvar","47093"
"2025-09-05","20 Yanvar","48666"
"2025-09-06","20 Yanvar","40934"
"2025-09-07","20 Yanvar","33785"
"2025-09-08","20 Yanvar","51069"
"2025-09-09","20 Yanvar","50672"
"2025-09-10","20 Yanvar","50968"
"2025-09-11","20 Yanvar","50934"
"2025-09-12","20 Yanvar","50690"
"2025-09-13","20 Yanvar","47780"
"2025-09-14","20 Yanvar","35004"
"2025-09-15","20 Yanvar","67660"
"2025-09-16","20 Yanvar","65616"
"2025-09-17","20 Yanvar","63095"
"2025-09-18","20 Yanvar","63854"
"2025-09-19","20 Yanvar","63798"
"2025-09-20","20 Yanvar","43967"
"2025-09-21","20 Yanvar","36249"
"2025-09-22","20 Yanvar","64530"
"2025-09-23","20 Yanvar","62962"
"2025-09-24","20 Yanvar","62383"
"2025-09-25","20 Yanvar","61962"
"2025-09-26","20 Yanvar","61367"
"2025-09-27","20 Yanvar","40052"
"2025-09-28","20 Yanvar","35331"
"2025-09-29","20 Yanvar","62469"
"2025-09-30","20 Yanvar","61363"
"2025-10-01","20 Yanvar","61591"
"2025-10-02","20 Yanvar","60446"
"2025-10-03","20 Yanvar","61497"
"2025-10-04","20 Yanvar","43924"
"2025-10-05","20 Yanvar","35970"
"2025-10-06","20 Yanvar","62454"
"2025-10-07","20 Yanvar","62041"
"2025-10-08","20 Yanvar","60790"
"2025-10-09","20 Yanvar","60493"
"2025-10-10","20 Yanvar","61633"
"2025-10-11","20 Yanvar","44262"
"2025-10-12","20 Yanvar","35467"
"2025-10-13","20 Yanvar","62414"
"2025-10-14","20 Yanvar","61540"
"2025-10-15","20 Yanvar","61285"
"2025-10-16","20 Yanvar","60379"
"2025-10-17","20 Yanvar","59950"
"2025-10-18","20 Yanvar","43539"
"2025-10-19","20 Yanvar","35860"
"2025-10-20","20 Yanvar","62474"
"2025-10-21","20 Yanvar","61452"
"2025-10-22","20 Yanvar","61172"
"2025-10-23","20 Yanvar","60044"
"2025-10-24","20 Yanvar","61161"
"2025-10-25","20 Yanvar","43402"
"2025-10-26","20 Yanvar","35732"
"2025-10-27","20 Yanvar","62465"
"2025-10-28","20 Yanvar","61420"
"2025-10-29","20 Yanvar","61156"
"2025-10-30","20 Yanvar","59235"
"2025-10-31","20 Yanvar","61921"
"2025-11-01","20 Yanvar","44902"
"2025-11-02","20 Yanvar","35254"
"2025-11-03","20 Yanvar","63058"
"2025-11-04","20 Yanvar","62013"
"2025-11-05","20 Yanvar","64902"
"2025-11-06","20 Yanvar","65511"
"2025-11-07","20 Yanvar","65841"
"2025-11-08","20 Yanvar","45307"
"2025-11-09","20 Yanvar","34763"
"2025-11-10","20 Yanvar","38762"
"2025-11-11","20 Yanvar","41280"
"2025-11-12","20 Yanvar","62645"
"2025-11-13","20 Yanvar","62298"
"2025-11-14","20 Yanvar","62574"
"2025-11-15","20 Yanvar","43947"
"2025-11-16","20 Yanvar","37749"
"2025-11-17","20 Yanvar","64172"
"2025-11-18","20 Yanvar","63876"
"2025-11-19","20 Yanvar","63488"
"2025-11-20","20 Yanvar","63406"
"2025-11-21","20 Yanvar","63459"
"2025-11-22","20 Yanvar","44621"
"2025-11-23","20 Yanvar","35763"
"2025-11-24","20 Yanvar","63508"
"2025-11-25","20 Yanvar","63028"
"2025-11-26","20 Yanvar","62363"
"2025-11-27","20 Yanvar","61718"
"2025-11-28","20 Yanvar","64132"
"2025-11-29","20 Yanvar","45555"
"2025-11-30","20 Yanvar","37139"
"2025-12-01","20 Yanvar","63838"
"2025-12-02","20 Yanvar","62781"
"2025-12-03","20 Yanvar","62022"
"2025-12-04","20 Yanvar","62506"
"2025-12-05","20 Yanvar","60603"
"2025-12-06","20 Yanvar","47217"
"2025-12-07","20 Yanvar","38108"
"2025-12-08","20 Yanvar","63334"
"2025-12-09","20 Yanvar","62743"
"2025-12-10","20 Yanvar","59571"
"2025-12-11","20 Yanvar","61455"
"2025-12-12","20 Yanvar","62498"
"2025-12-13","20 Yanvar","47307"
"2025-12-14","20 Yanvar","34072"
"2025-12-15","20 Yanvar","62443"
"2025-12-16","20 Yanvar","62123"
"2025-12-17","20 Yanvar","63163"
"2025-12-18","20 Yanvar","62734"
"2025-12-19","20 Yanvar","63609"
"2025-12-20","20 Yanvar","48240"
"2025-12-21","20 Yanvar","39640"
"2025-12-22","20 Yanvar","62706"
"2025-12-23","20 Yanvar","61916"
"2025-12-24","20 Yanvar","61344"
"2025-12-25","20 Yanvar","57337"
"2025-12-26","20 Yanvar","58203"
"2025-12-27","20 Yanvar","47346"
"2025-12-28","20 Yanvar","35607"
"2025-12-29","20 Yanvar","53571"
"2025-12-30","20 Yanvar","49996"
"2025-12-31","20 Yanvar","30211"
"2025-01-01","28 May","32328"
"2025-01-02","28 May","36370"
"2025-01-03","28 May","38588"
"2025-01-04","28 May","38736"
"2025-01-05","28 May","30600"
"2025-01-06","28 May","53665"
"2025-01-07","28 May","51194"
"2025-01-08","28 May","52058"
"2025-01-09","28 May","53729"
"2025-01-10","28 May","57916"
"2025-01-11","28 May","43203"
"2025-01-12","28 May","31987"
"2025-01-13","28 May","56643"
"2025-01-14","28 May","53494"
"2025-01-15","28 May","51594"
"2025-01-16","28 May","52705"
"2025-01-17","28 May","57161"
"2025-01-18","28 May","42252"
"2025-01-19","28 May","25833"
"2025-01-20","28 May","34849"
"2025-01-21","28 May","56558"
"2025-01-22","28 May","52883"
"2025-01-23","28 May","52989"
"2025-01-24","28 May","56171"
"2025-01-25","28 May","42776"
"2025-01-26","28 May","32418"
"2025-01-27","28 May","56657"
"2025-01-28","28 May","56609"
"2025-01-29","28 May","40097"
"2025-01-30","28 May","56043"
"2025-01-31","28 May","58354"
"2025-02-01","28 May","43944"
"2025-02-02","28 May","34626"
"2025-02-03","28 May","54295"
"2025-02-04","28 May","53877"
"2025-02-05","28 May","49688"
"2025-02-06","28 May","48915"
"2025-02-07","28 May","45449"
"2025-02-08","28 May","33015"
"2025-02-09","28 May","28617"
"2025-02-10","28 May","51876"
"2025-02-11","28 May","52708"
"2025-02-12","28 May","53739"
"2025-02-13","28 May","53977"
"2025-02-14","28 May","54951"
"2025-02-15","28 May","43720"
"2025-02-16","28 May","38178"
"2025-02-17","28 May","62772"
"2025-02-18","28 May","61468"
"2025-02-19","28 May","60837"
"2025-02-20","28 May","56477"
"2025-02-21","28 May","47067"
"2025-02-22","28 May","33448"
"2025-02-23","28 May","33696"
"2025-02-24","28 May","38679"
"2025-02-25","28 May","56264"
"2025-02-26","28 May","61551"
"2025-02-27","28 May","55647"
"2025-02-28","28 May","62178"
"2025-03-01","28 May","34114"
"2025-03-02","28 May","33874"
"2025-03-03","28 May","64577"
"2025-03-04","28 May","64897"
"2025-03-05","28 May","65803"
"2025-03-06","28 May","67202"
"2025-03-07","28 May","71869"
"2025-03-08","28 May","51389"
"2025-03-09","28 May","39167"
"2025-03-10","28 May","65502"
"2025-03-11","28 May","65086"
"2025-03-12","28 May","63903"
"2025-03-13","28 May","63417"
"2025-03-14","28 May","64733"
"2025-03-15","28 May","46447"
"2025-03-16","28 May","37011"
"2025-03-17","28 May","65211"
"2025-03-18","28 May","63895"
"2025-03-19","28 May","57520"
"2025-03-20","28 May","23165"
"2025-03-21","28 May","25318"
"2025-03-22","28 May","28928"
"2025-03-23","28 May","29026"
"2025-03-24","28 May","31284"
"2025-03-25","28 May","37944"
"2025-03-26","28 May","39892"
"2025-03-27","28 May","38689"
"2025-03-28","28 May","40058"
"2025-03-29","28 May","36863"
"2025-03-30","28 May","32298"
"2025-03-31","28 May","38745"
"2025-04-01","28 May","62625"
"2025-04-02","28 May","63665"
"2025-04-03","28 May","63960"
"2025-04-04","28 May","63179"
"2025-04-05","28 May","46343"
"2025-04-06","28 May","38038"
"2025-04-07","28 May","64809"
"2025-04-08","28 May","64419"
"2025-04-09","28 May","62786"
"2025-04-10","28 May","58516"
"2025-04-11","28 May","60067"
"2025-04-12","28 May","44526"
"2025-04-13","28 May","36451"
"2025-04-14","28 May","53217"
"2025-04-15","28 May","60825"
"2025-04-16","28 May","35336"
"2025-04-17","28 May","56631"
"2025-04-18","28 May","62955"
"2025-04-19","28 May","45644"
"2025-04-20","28 May","35644"
"2025-04-21","28 May","63615"
"2025-04-22","28 May","63149"
"2025-04-23","28 May","62184"
"2025-04-24","28 May","61527"
"2025-04-25","28 May","61830"
"2025-04-26","28 May","43577"
"2025-04-27","28 May","32420"
"2025-04-28","28 May","55026"
"2025-04-29","28 May","57672"
"2025-04-30","28 May","62755"
"2025-05-01","28 May","62517"
"2025-05-02","28 May","62152"
"2025-05-03","28 May","44461"
"2025-05-04","28 May","36971"
"2025-05-05","28 May","61993"
"2025-05-06","28 May","62589"
"2025-05-07","28 May","63221"
"2025-05-08","28 May","64687"
"2025-05-09","28 May","43316"
"2025-05-10","28 May","40967"
"2025-05-11","28 May","34674"
"2025-05-12","28 May","62507"
"2025-05-13","28 May","62442"
"2025-05-14","28 May","58967"
"2025-05-15","28 May","60278"
"2025-05-16","28 May","62460"
"2025-05-17","28 May","44537"
"2025-05-18","28 May","33479"
"2025-05-19","28 May","61294"
"2025-05-20","28 May","61929"
"2025-05-21","28 May","59880"
"2025-05-22","28 May","61135"
"2025-05-23","28 May","62304"
"2025-05-24","28 May","42106"
"2025-05-25","28 May","33380"
"2025-05-26","28 May","60905"
"2025-05-27","28 May","60323"
"2025-05-28","28 May","39882"
"2025-05-29","28 May","56868"
"2025-05-30","28 May","56050"
"2025-05-31","28 May","40984"
"2025-06-01","28 May","36416"
"2025-06-02","28 May","55597"
"2025-06-03","28 May","53723"
"2025-06-04","28 May","54280"
"2025-06-05","28 May","59821"
"2025-06-06","28 May","33541"
"2025-06-07","28 May","32630"
"2025-06-08","28 May","31098"
"2025-06-09","28 May","38603"
"2025-06-10","28 May","58178"
"2025-06-11","28 May","56851"
"2025-06-12","28 May","56212"
"2025-06-13","28 May","59262"
"2025-06-14","28 May","39913"
"2025-06-15","28 May","29841"
"2025-06-16","28 May","37097"
"2025-06-17","28 May","57406"
"2025-06-18","28 May","54735"
"2025-06-19","28 May","53984"
"2025-06-20","28 May","54904"
"2025-06-21","28 May","48350"
"2025-06-22","28 May","30692"
"2025-06-23","28 May","55317"
"2025-06-24","28 May","55027"
"2025-06-25","28 May","56112"
"2025-06-26","28 May","37611"
"2025-06-27","28 May","38752"
"2025-06-28","28 May","35016"
"2025-06-29","28 May","28868"
"2025-06-30","28 May","55008"
"2025-07-01","28 May","52624"
"2025-07-02","28 May","51248"
"2025-07-03","28 May","50597"
"2025-07-04","28 May","50739"
"2025-07-05","28 May","37019"
"2025-07-06","28 May","30516"
"2025-07-07","28 May","49483"
"2025-07-08","28 May","48614"
"2025-07-09","28 May","48192"
"2025-07-10","28 May","46824"
"2025-07-11","28 May","46530"
"2025-07-12","28 May","34807"
"2025-07-13","28 May","27391"
"2025-07-14","28 May","44384"
"2025-07-15","28 May","43136"
"2025-07-16","28 May","44074"
"2025-07-17","28 May","43294"
"2025-07-18","28 May","43693"
"2025-07-19","28 May","33962"
"2025-07-20","28 May","25784"
"2025-07-21","28 May","42553"
"2025-07-22","28 May","43099"
"2025-07-23","28 May","42796"
"2025-07-24","28 May","42016"
"2025-07-25","28 May","43141"
"2025-07-26","28 May","33575"
"2025-07-27","28 May","27074"
"2025-07-28","28 May","43058"
"2025-07-29","28 May","43435"
"2025-07-30","28 May","43636"
"2025-07-31","28 May","42125"
"2025-08-01","28 May","43352"
"2025-08-02","28 May","33851"
"2025-08-03","28 May","26510"
"2025-08-04","28 May","41843"
"2025-08-05","28 May","41078"
"2025-08-06","28 May","41186"
"2025-08-07","28 May","40711"
"2025-08-08","28 May","42303"
"2025-08-09","28 May","34131"
"2025-08-10","28 May","28634"
"2025-08-11","28 May","43897"
"2025-08-12","28 May","43377"
"2025-08-13","28 May","43134"
"2025-08-14","28 May","42108"
"2025-08-15","28 May","43353"
"2025-08-16","28 May","34402"
"2025-08-17","28 May","28113"
"2025-08-18","28 May","43806"
"2025-08-19","28 May","42305"
"2025-08-20","28 May","41357"
"2025-08-21","28 May","42618"
"2025-08-22","28 May","43044"
"2025-08-23","28 May","34622"
"2025-08-24","28 May","28117"
"2025-08-25","28 May","43754"
"2025-08-26","28 May","43530"
"2025-08-27","28 May","45064"
"2025-08-28","28 May","44147"
"2025-08-29","28 May","46017"
"2025-08-30","28 May","36228"
"2025-08-31","28 May","29671"
"2025-09-01","28 May","47369"
"2025-09-02","28 May","47610"
"2025-09-03","28 May","48900"
"2025-09-04","28 May","49591"
"2025-09-05","28 May","52019"
"2025-09-06","28 May","40384"
"2025-09-07","28 May","32603"
"2025-09-08","28 May","52921"
"2025-09-09","28 May","53258"
"2025-09-10","28 May","53197"
"2025-09-11","28 May","54490"
"2025-09-12","28 May","55896"
"2025-09-13","28 May","52680"
"2025-09-14","28 May","37207"
"2025-09-15","28 May","77392"
"2025-09-16","28 May","74299"
"2025-09-17","28 May","71367"
"2025-09-18","28 May","72273"
"2025-09-19","28 May","72825"
"2025-09-20","28 May","50475"
"2025-09-21","28 May","41446"
"2025-09-22","28 May","69422"
"2025-09-23","28 May","67980"
"2025-09-24","28 May","65248"
"2025-09-25","28 May","65859"
"2025-09-26","28 May","65995"
"2025-09-27","28 May","42923"
"2025-09-28","28 May","34139"
"2025-09-29","28 May","65396"
"2025-09-30","28 May","65398"
"2025-10-01","28 May","64661"
"2025-10-02","28 May","63734"
"2025-10-03","28 May","65928"
"2025-10-04","28 May","46394"
"2025-10-05","28 May","35769"
"2025-10-06","28 May","64861"
"2025-10-07","28 May","65771"
"2025-10-08","28 May","63688"
"2025-10-09","28 May","63923"
"2025-10-10","28 May","65406"
"2025-10-11","28 May","45902"
"2025-10-12","28 May","34944"
"2025-10-13","28 May","65324"
"2025-10-14","28 May","64584"
"2025-10-15","28 May","64370"
"2025-10-16","28 May","63853"
"2025-10-17","28 May","63087"
"2025-10-18","28 May","45064"
"2025-10-19","28 May","34889"
"2025-10-20","28 May","65160"
"2025-10-21","28 May","64547"
"2025-10-22","28 May","64377"
"2025-10-23","28 May","63155"
"2025-10-24","28 May","65379"
"2025-10-25","28 May","43913"
"2025-10-26","28 May","33471"
"2025-10-27","28 May","65187"
"2025-10-28","28 May","64288"
"2025-10-29","28 May","63594"
"2025-10-30","28 May","62940"
"2025-10-31","28 May","66538"
"2025-11-01","28 May","46713"
"2025-11-02","28 May","34511"
"2025-11-03","28 May","67131"
"2025-11-04","28 May","65468"
"2025-11-05","28 May","74358"
"2025-11-06","28 May","73771"
"2025-11-07","28 May","69296"
"2025-11-08","28 May","52195"
"2025-11-09","28 May","33563"
"2025-11-10","28 May","38347"
"2025-11-11","28 May","40078"
"2025-11-12","28 May","64694"
"2025-11-13","28 May","64764"
"2025-11-14","28 May","65645"
"2025-11-15","28 May","44379"
"2025-11-16","28 May","35711"
"2025-11-17","28 May","65667"
"2025-11-18","28 May","66087"
"2025-11-19","28 May","65825"
"2025-11-20","28 May","64598"
"2025-11-21","28 May","66101"
"2025-11-22","28 May","44312"
"2025-11-23","28 May","34010"
"2025-11-24","28 May","65764"
"2025-11-25","28 May","66151"
"2025-11-26","28 May","65458"
"2025-11-27","28 May","65288"
"2025-11-28","28 May","69729"
"2025-11-29","28 May","47747"
"2025-11-30","28 May","37092"
"2025-12-01","28 May","66372"
"2025-12-02","28 May","66375"
"2025-12-03","28 May","65547"
"2025-12-04","28 May","65885"
"2025-12-05","28 May","62655"
"2025-12-06","28 May","48334"
"2025-12-07","28 May","37006"
"2025-12-08","28 May","66191"
"2025-12-09","28 May","67520"
"2025-12-10","28 May","61899"
"2025-12-11","28 May","66412"
"2025-12-12","28 May","68378"
"2025-12-13","28 May","49455"
"2025-12-14","28 May","34213"
"2025-12-15","28 May","67228"
"2025-12-16","28 May","67344"
"2025-12-17","28 May","68015"
"2025-12-18","28 May","67048"
"2025-12-19","28 May","68484"
"2025-12-20","28 May","50049"
"2025-12-21","28 May","40307"
"2025-12-22","28 May","67206"
"2025-12-23","28 May","67595"
"2025-12-24","28 May","66701"
"2025-12-25","28 May","61368"
"2025-12-26","28 May","64045"
"2025-12-27","28 May","49361"
"2025-12-28","28 May","35675"
"2025-12-29","28 May","58393"
"2025-12-30","28 May","55633"
"2025-12-31","28 May","35996"
"2025-01-01","8 Noyabr","2052"
"2025-01-02","8 Noyabr","2198"
"2025-01-03","8 Noyabr","2506"
"2025-01-04","8 Noyabr","2536"
"2025-01-05","8 Noyabr","2103"
"2025-01-06","8 Noyabr","4597"
"2025-01-07","8 Noyabr","4639"
"2025-01-08","8 Noyabr","4668"
"2025-01-09","8 Noyabr","4761"
"2025-01-10","8 Noyabr","4891"
"2025-01-11","8 Noyabr","3572"
"2025-01-12","8 Noyabr","2206"
"2025-01-13","8 Noyabr","4752"
"2025-01-14","8 Noyabr","4775"
"2025-01-15","8 Noyabr","4677"
"2025-01-16","8 Noyabr","4650"
"2025-01-17","8 Noyabr","4753"
"2025-01-18","8 Noyabr","3676"
"2025-01-19","8 Noyabr","2099"
"2025-01-20","8 Noyabr","2882"
"2025-01-21","8 Noyabr","4803"
"2025-01-22","8 Noyabr","4761"
"2025-01-23","8 Noyabr","4734"
"2025-01-24","8 Noyabr","4848"
"2025-01-25","8 Noyabr","3496"
"2025-01-26","8 Noyabr","2176"
"2025-01-27","8 Noyabr","4688"
"2025-01-28","8 Noyabr","4786"
"2025-01-29","8 Noyabr","3159"
"2025-01-30","8 Noyabr","4861"
"2025-01-31","8 Noyabr","4817"
"2025-02-01","8 Noyabr","3391"
"2025-02-02","8 Noyabr","2324"
"2025-02-03","8 Noyabr","4765"
"2025-02-04","8 Noyabr","4841"
"2025-02-05","8 Noyabr","4527"
"2025-02-06","8 Noyabr","4647"
"2025-02-07","8 Noyabr","4314"
"2025-02-08","8 Noyabr","2837"
"2025-02-09","8 Noyabr","2077"
"2025-02-10","8 Noyabr","4495"
